model,cv_best_score,f1_macro,accuracy
esm1b_mean_xgb,0.9392735026691357,0.8518592445772033,0.8529553099471407
esm1b_mean_lr,0.9438510638855154,0.8421673797909279,0.8423834694858241
esm1b_mean_svm,0.951480080357821,0.871616137039648,0.8716962998558385
esm1b_mean_rf,0.9255421286324648,0.7969206704205591,0.8010571840461317
esm1v_mean_xgb,0.9341626672557013,0.8476323855040506,0.8491110043248439
esm1v_mean_lr,0.9328650450172011,0.8320798319570597,0.8322921672272946
esm1v_mean_svm,0.9443087297894056,0.8570895431796031,0.8572801537722249
esm1v_mean_rf,0.9073092964150667,0.7989101109567988,0.802498798654493
dlm_avg_xgb,0.9058222466961473,0.8589529602212896,0.8609154929577465
dlm_avg_lr,0.9046806890721832,0.8243376174032705,0.8252640845070423
dlm_avg_svm,0.9121011317098097,0.842342163226322,0.8433098591549296
dlm_avg_rf,0.8837047681234138,0.8641514612402532,0.8657570422535211
dlm_max_xgb,0.9131712863179505,0.8750285546614028,0.8763204225352113
dlm_max_lr,0.9079625304658805,0.8275641656490578,0.8279049295774648
dlm_max_svm,0.9084621734508014,0.8260664111197124,0.8265845070422535
dlm_max_rf,0.9060366338694582,0.8824609561604433,0.883362676056338
dlm_sum_xgb,0.9029684416991579,0.8565830032122282,0.8587147887323944
dlm_sum_lr,0.899972008796363,0.8260877316700201,0.8261443661971831
dlm_sum_svm,0.8984736142191243,0.8353546626984126,0.835387323943662
dlm_sum_rf,0.8960478456188422,0.8473736415599664,0.8499119718309859
mt_avg_xgb,0.9141696816585856,0.868554180313996,0.8701584507042254
mt_avg_lr,0.9135990428026218,0.8343475806225222,0.835387323943662
mt_avg_svm,0.920305938766443,0.847525226868185,0.8485915492957746
mt_avg_rf,0.8941930466796579,0.8500886045722472,0.852112676056338
mt_max_xgb,0.9183082320094172,0.8803217461407519,0.8816021126760564
mt_max_lr,0.9150975900591531,0.8278648779699369,0.8283450704225352
mt_max_svm,0.9175235367852764,0.8472993710252017,0.8477112676056338
mt_max_rf,0.9143842469577379,0.8507910640747745,0.8529929577464789
mt_sum_xgb,0.9133853681326762,0.865448347322984,0.8670774647887324
mt_sum_lr,0.9076063551228739,0.8254656515086147,0.8257042253521126
mt_sum_svm,0.9106030679377047,0.8298266039522502,0.8301056338028169
mt_sum_rf,0.9046805872859881,0.8489046642767478,0.8512323943661971
